,data_points_count,price_close,sma_status,sma_20,sma_20_ratio,sma_20_slope,sma_20_slope_status,sma_50,sma_50_ratio,sma_50_slope,sma_50_slope_status,sma_200,sma_200_ratio,rsi_7,rsi_7_scale,rsi_13,rsi_13_scale,bb_lband,bb_hband,bb_width,bb_width_pct,to_ccy,high_pct,low_pct,high_low_ratio,btc_rsq,eth_rsq,close_time,exch_volume
AUDUSDT,200.0,0.7126200000000000311928260998683981597423553466796875,1.0,0.7100179999999998159410097287036478519439697265625,1.003664695824613201251709935,0.0002475,1.0,0.70813020000000037601495250783045776188373565673828125,1.006340359442373242651992017,0.0002028,1.0,0.70298389999999943977826433183508925139904022216796875,1.013707426300944586488765848,73.6540737514,4.0,69.2518339362,4.0,0.705569991,0.714466009,1.2529285153,0.7924904158,USDT,0.9990606906027002363221798671,1.026415855274529041212195474,1.027380883793282207667578509,-0.0565048849,0.0542266135,"09/30/2020, 23:59:59",15464.0
AVABNB,200.0,0.0194499999999999985400567226179191493429243564605712890625,-1.0,0.0195529999999999974658049239906176808290183544158935546875,0.9947322661484171769499480100,-3.4e-05,-1.0,0.020070799999999978935338873498039902187883853912353515625,0.9690694939912718453264056029,-4.88e-05,-1.0,0.0240394500000000212180939485051567316986620426177978515625,0.8090867303536470831395254669,46.5036864767,3.0,44.6045862849,3.0,0.0191180701,0.0199879299,4.4487278618,0.3815901081,BNB,0.6767571329157967090828290488,1.016727652901202161542465880,1.502352326189231568135782402,-0.5069962335,-0.5803325905,"09/30/2020, 23:59:59",392.8
AVABTC,200.0,0.0000528000000000000026928979879325964930103509686887264251708984375,-1.0,0.000052229999999999992903697287882636146605364046990871429443359375,1.010913268236645794881190026,-2.5e-08,-1.0,0.0000528180000000000421617012136277224954028497450053691864013671875,0.9996592070884918123663369157,-4.8e-08,-1.0,0.000057744500000000002532148102307729686799575574696063995361328125,0.9143727974092770805456908307,54.3634115875,3.0,51.7865148694,3.0,5.0767e-05,5.3693e-05,5.6021849306,0.6948037841,BTC,0.8024316109422492786227224480,1.045544554455445577236757969,1.302970297029702948508828021,-0.3145854076,-0.3604815913,"09/30/2020, 23:59:59",2431.6
AVAXBTC,200.0,0.000402130000000000000469346783660284927464090287685394287109375,-1.0,0.0003906409999999998941370982219467578033800236880779266357421875,1.029410635340376738349901219,1.009e-06,1.0,0.0003883210000000000654274412426048002089373767375946044921875,1.035560786050715600534749089,-2.12e-08,-1.0,0.000406755900000000162296254213600832372321747243404388427734375,0.9886273315273357805475816419,63.9886148187,4.0,61.8705755945,4.0,0.0003709052,0.0004103768,10.1043239554,0.7910697981,BTC,0.7617974122416503299083281651,1.204811696677352677800477754,1.581538184977679411751536627,0.220942067,0.2226006827,"09/30/2020, 23:59:59",2228.3
AVAXUSDT,200.0,4.329299999999999926103555480949580669403076171875,-1.0,4.1910150000000019332446754560805857181549072265625,1.032995586987877144097631998,0.011315,1.0,4.168621999999999161445884965360164642333984375,1.038544631775200725078798246,-0.001134,-1.0,4.33569800000000160622448674985207617282867431640625,0.9985243437158211485784535705,66.066979801,4.0,62.0002274804,4.0,3.968656845,4.413373155,10.6111839261,0.810951042,USDT,0.7800681093353033176940774895,1.273323529411764717411001027,1.632323529411764764824054903,0.4118779818,0.4028455215,"09/30/2020, 23:59:59",14915.78
BALBTC,200.0,0.00145790000000000003789468738801815561600960791110992431640625,1.0,0.0014414549999999999065070088732909425743855535984039306640625,1.011408611437748755565941165,2.8e-07,1.0,0.001426160000000000101227914939272523042745888233184814453125,1.022255567397767385436337974,-1.88e-07,-1.0,0.00140831700000000115992337956782876062789000570774078369140625,1.035207272226351621924303714,65.2444536519,4.0,59.4993117964,3.0,0.0014182984,0.0014646116,3.2129413667,0.8550830885,BTC,0.9225463519584889317456655842,1.152399019840328944101444482,1.249150264801201561743888473,0.7411994139,0.7993162958,"09/30/2020, 23:59:59",4098.06
BALUSDT,200.0,15.67099999999999937472239253111183643341064453125,1.0,15.466649999999997788791006314568221569061279296875,1.013212298720149587347391967,0.00025,1.0,15.3117200000000028836666388087905943393707275390625,1.023464378920199456585694294,-0.00548,-1.0,15.0114399999999985624299370101653039455413818359375,1.043937157261395367496735653,64.045815607,4.0,58.320671397,3.0,15.1613945168,15.7719054832,3.9472734323,0.8347196222,USDT,0.9672859700018516684073710618,1.213865220759101409931972856,1.254918667699457810476847489,0.886965027,0.9100196202,"09/30/2020, 23:59:59",2366.253
BANDBNB,200.0,0.2210600000000000064925842480079154483973979949951171875,-1.0,0.2248899999999998955413360590682714246213436126708984375,0.9829694517319583315054465324,-0.0003125,-1.0,0.2308458000000000176488157421772484667599201202392578125,0.9576089320230213830700868444,-0.0005394,-1.0,0.254687999999999969968911273099365644156932830810546875,0.8679639401934917725157304141,37.2384516784,2.0,36.1869714675,2.0,0.2181917405,0.2315882595,5.9569206949,0.2141048347,BNB,0.7365720378515260830654332694,1.010329067641681956381031037,1.371663619744058525774606596,-0.0763019705,-0.1721134465,"09/30/2020, 23:59:59",1396.9
BANDBTC,200.0,0.000603139999999999947867534988432680620462633669376373291015625,-1.0,0.00060158400000000049334669682821186142973601818084716796875,1.002586504960237395350931012,-1.15e-08,-1.0,0.00060802260000000015079113513394304391113109886646270751953125,0.9919697063892029643097097764,-5.248e-07,-1.0,0.00061399850000000010148692997091757206362672150135040283203125,0.9823151033756594652517732255,54.1317264828,3.0,48.8647971115,3.0,0.0005953603,0.0006078077,2.0690928618,0.6250067123,BTC,0.8779713815741589588039464631,1.093595880475775932639474840,1.245593994778067807548787402,0.6046403067,0.5799569253,"09/30/2020, 23:59:59",10449.1
BANDUSDT,200.0,6.4900000000000002131628207280300557613372802734375,-1.0,6.44885499999999201037326201912946999073028564453125,1.006380202377012392706146163,0.00036,1.0,6.5235919999999989471461958601139485836029052734375,0.9948506896200745326493676867,-0.00709,-1.0,6.54437600000000063715788201079703867435455322265625,0.9916911864477223773968617882,58.4680027081,3.0,51.1020794421,3.0,6.3646412606,6.5330687394,2.6117423753,0.7442891166,USDT,0.8829331338004217382916264132,1.154804270462633467986148201,1.307918149466192191529470438,0.7470196762,0.7155497566,"09/30/2020, 23:59:59",18513.37
